CA-A CANCER JOURNAL FOR CLINICIANS,CA-A CANCER JOURNAL FOR CLINICIANS,508.702
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NATURE REVIEWS MOLECULAR CELL BIOLOGY,94.444
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGLAND JOURNAL OF MEDICINE,91.245
NATURE REVIEWS DRUG DISCOVERY,NATURE REVIEWS DRUG DISCOVERY,84.694
LANCET,LANCET,79.321
Nature Reviews Clinical Oncology,Nature Reviews Clinical Oncology,66.675
Nature Reviews Materials,Nature Reviews Materials,66.308
Nature Energy,Nature Energy,60.858
NATURE REVIEWS CANCER,NATURE REVIEWS CANCER,60.716
NATURE REVIEWS MICROBIOLOGY,NATURE REVIEWS MICROBIOLOGY,60.633
CHEMICAL REVIEWS,CHEMICAL REVIEWS,60.622
MMWR Surveillance Summaries,MMWR Surveillance Summaries,58.769
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,56.272
MMWR Recommendations and Reports,MMWR Recommendations and Reports,55.857
NATURE BIOTECHNOLOGY,NATURE BIOTECHNOLOGY,54.908
CHEMICAL SOCIETY REVIEWS,CHEMICAL SOCIETY REVIEWS,54.564
REVIEWS OF MODERN PHYSICS,REVIEWS OF MODERN PHYSICS,54.494
NATURE MEDICINE,NATURE MEDICINE,53.44
NATURE REVIEWS GENETICS,NATURE REVIEWS GENETICS,53.242
NATURE REVIEWS IMMUNOLOGY,NATURE REVIEWS IMMUNOLOGY,53.106
Nature Reviews Disease Primers,Nature Reviews Disease Primers,52.329
NATURE,NATURE,49.962
World Psychiatry,World Psychiatry,49.548
SCIENCE,SCIENCE,47.728
Nature Reviews Gastroenterology & Hepatology,Nature Reviews Gastroenterology & Hepatology,46.802
JOURNAL OF CLINICAL ONCOLOGY,JOURNAL OF CLINICAL ONCOLOGY,44.544
LANCET NEUROLOGY,LANCET NEUROLOGY,44.182
NATURE MATERIALS,NATURE MATERIALS,43.841
Nature Reviews Endocrinology,Nature Reviews Endocrinology,43.33
Nature Reviews Neurology,Nature Reviews Neurology,42.937
Nature Catalysis,Nature Catalysis,41.813
CELL,CELL,41.582
LANCET ONCOLOGY,LANCET ONCOLOGY,41.316
Joule,Joule,41.248
Living Reviews in Relativity,Living Reviews in Relativity,40.429
BMJ-British Medical Journal,BMJ-British Medical Journal,39.89
PROGRESS IN MATERIALS SCIENCE,PROGRESS IN MATERIALS SCIENCE,39.58
Cancer Discovery,Cancer Discovery,39.397
Nature Nanotechnology,Nature Nanotechnology,39.213
Nature Photonics,Nature Photonics,38.771
Energy & Environmental Science,Energy & Environmental Science,38.532
NATURE GENETICS,NATURE GENETICS,38.33
PHYSIOLOGICAL REVIEWS,PHYSIOLOGICAL REVIEWS,37.312
MATERIALS SCIENCE & ENGINEERING R-REPORTS,MATERIALS SCIENCE & ENGINEERING R-REPORTS,36.214
NATURE REVIEWS NEUROSCIENCE,NATURE REVIEWS NEUROSCIENCE,34.87
Nature Reviews Chemistry,Nature Reviews Chemistry,34.035
Nature Electronics,Nature Electronics,33.686
ANNALS OF ONCOLOGY,ANNALS OF ONCOLOGY,32.976
Nature Reviews Cardiology,Nature Reviews Cardiology,32.419
Lancet Diabetes & Endocrinology,Lancet Diabetes & Endocrinology,32.069
JAMA Oncology,JAMA Oncology,31.777
IMMUNITY,IMMUNITY,31.745
CANCER CELL,CANCER CELL,31.743
Nature Reviews Physics,Nature Reviews Physics,31.068
Materials Today,Materials Today,31.041
ADVANCED MATERIALS,ADVANCED MATERIALS,30.849
Lancet Respiratory Medicine,Lancet Respiratory Medicine,30.7
Annual Review of Astronomy and Astrophysics,Annual Review of Astronomy and Astrophysics,30.065
EUROPEAN HEART JOURNAL,EUROPEAN HEART JOURNAL,29.983
CIRCULATION,CIRCULATION,29.69
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,PROGRESS IN ENERGY AND COMBUSTION SCIENCE,29.394
Advanced Energy Materials,Advanced Energy Materials,29.368
PROGRESS IN POLYMER SCIENCE,PROGRESS IN POLYMER SCIENCE,29.19
Electrochemical Energy Reviews,Electrochemical Energy Reviews,28.905
NATURE CELL BIOLOGY,NATURE CELL BIOLOGY,28.824
NATURE METHODS,NATURE METHODS,28.547
Annual Review of Immunology,Annual Review of Immunology,28.527
Nature Reviews Nephrology,Nature Reviews Nephrology,28.314
Molecular Cancer,Molecular Cancer,27.401
Cell Metabolism,Cell Metabolism,27.287
Lancet Psychiatry,Lancet Psychiatry,27.083
Lancet Global Health,Lancet Global Health,26.763
Annual Review of Plant Biology,Annual Review of Plant Biology,26.379
CLINICAL MICROBIOLOGY REVIEWS,CLINICAL MICROBIOLOGY REVIEWS,26.132
Journal of Extracellular Vesicles,Journal of Extracellular Vesicles,25.841
Nature Biomedical Engineering,Nature Biomedical Engineering,25.671
CELL RESEARCH,CELL RESEARCH,25.617
NATURE IMMUNOLOGY,NATURE IMMUNOLOGY,25.606
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,25.6
PHARMACOLOGICAL REVIEWS,PHARMACOLOGICAL REVIEWS,25.468
InfoMat,InfoMat,25.405
ANNALS OF INTERNAL MEDICINE,ANNALS OF INTERNAL MEDICINE,25.391
ADVANCES IN PHYSICS,ADVANCES IN PHYSICS,25.375
ASTRONOMY AND ASTROPHYSICS REVIEW,ASTRONOMY AND ASTROPHYSICS REVIEW,25.357
Nature Climate Change,Nature Climate Change,25.29
IEEE Communications Surveys and Tutorials,IEEE Communications Surveys and Tutorials,25.249
